nationality;male;female;comments
Камасинцы, Абалаковские татары,  Таёжные татары;камасинец, абалаковский татарин,  таёжный татарин;камасинка, абалаковская татарка,  таёжная татарка;
Камбоджийцы;камбоджиец;камбоджийка;
Камерунцы;камерунец;камерунка;
Кампучийцы;кампучиец;кампучийка;
Камчадалы;камчадал;камчадалка;
Канадцы;канадец;канадка;
Карабулаки, Орхустойцы, Орстхойцы;карабулак, орхустоец, орстхоец;карабулачка, орхустойка, орстхойка;
Каравлахи;каравлах;каравлашка;
Карагаши, Кундровские татары;карагаш, кундровский татарин;карагашка, кундровская татарка;
Караимы;караим;караимка;
Каракалпаки;каракалпак;каракалпачка;
Каракачаны;каракачан;каракачанка;
Каратинцы;каратинец;каратинка;
Карачаевцы;карачаевец;карачаевка;
Карелы, Карело-финны;карел, карело-финн;карелка, карело-финнка;
Каталонцы;каталонец;каталонка;
Качинцы;качинец;качинка;
Кашгарцы, Кашгарлыки;кашгарец, кашгарлык;кашгарка, кашгарлычка;
Кашмирцы;кашмирец;кашмирка;
Кванадинцы, Багулалы;кванадинец, багулалец;кванадинка, багулалка;
Квены;квен;квенка;
Кенийцы;кениец;кенийка;
Кереки;керекец;керекянка;
Кеты;кет, кетец;кетка, кетянка;
Киприоты;киприот;киприотка;
Киргизы;киргиз;киргизка;
Кистинцы, кисты, кистины;кистинец, кист, кистин;кистинка;
Китайцы;китаец;китаянка;
Колумбийцы;колумбиец;колумбийка;
Коми;коми;коми;
Коми-зыряне, Зыряне;коми-зырянин, зырянин;коми-зырянка, зырянка;
Коми-ижемцы, Ижемцы;комяк-ижемец, ижемец;комячка-ижемка, ижемка;
Коми-пермяки, Пермяки;коми-пермяк, пермяк;коми-пермячка, пермячка;
Коморцы;коморец;коморка;
Конголезцы;конголезец;конголезка;
Корейцы;кореец;кореянка;
Корсиканцы;корсиканец;корсиканка;
Коряки;коряк;корячка;
Костариканцы;костариканец;костариканка;
Котдивуарцы;котдивуарец;котдивуарка;
Котты, Канские татары;Котт, Канский татарин;Коттка, Канская татарка;
Крызы;крызец;крызянка;
Крымские татары;крымский татарин;крымская татарка;
Крымчаки;крымчак;крымчаканка;
Кряшены;кряшен;кряшенка;
Кубачинцы;кубачинец;кубачинка;
Кубинцы;кубинец;кубинка;
Кумандинцы;кумандинец;кумандинка;
Кумыки, Горские кумыки, Дагестанские татары;кумык, горский кумык, дагестанский татарин;кумычка, горская кумычка, дагестанская татарка;
Курды;курд;курдка, курдянка;
Курманч;курманч;курманчка;
Куцовлахи;куцовлах;коцувлашка;
Кхмеры;кхмер;кхмерка;
Лазы;лаз;лазка;
Лакцы;лакец, лак;лачка;
Ланкийцы;ланкиец;ланкийка;
Лаосцы;лаосец;лаоска;
Латгальцы;латгалец;латгалка;
Латыши, Латвийцы;латыш, латвиец;латышка, латвийка;
Лезгины, Лезгинцы;лезгин, лезгинец;лезгинка;
Лесотцы;лесотец;лесотка;
Либерийцы;либериец;либерийка;
Ливанцы;ливанец;ливанка;
Ливийцы;ливиец;ливийка;
Ливы;ливец;ливянка;
Литовцы, Литвины;литовец, литвин;литовка, литвинка;
Лихтенштейнцы;лихтенштейнец;лихтенштейнка;
Лугово-восточные марийцы;лугово-восточный мариец;лугово-восточная марийка;
Лужичи;лужич;лужичка;
Люксембуржцы;люксембуржец;люксембурженка;
Маврикийцы;маврикиец;маврикийка;
Мавританцы;мавр;мавританка;
Мадьяры;мадьяр;мадьярка;
Мазуры;мазур;мазурка;
Македонцы;македонец;македонка;
Малавийцы;малавиец;малавийка;
Малагасийцы;малагасиец;малагасийка;
Малайцы;малаец;малайка;
Малийцы;малиец;малийка;
Мальдивцы;мальдивец;мальдивийка;
Мальтийцы;мальтиец;мальтийка;
Манси;манси, мансиец;манси, мансийка;
Маньчжуры;маньчжур;маньчжурка;
Марийцы, Черемисы;мариец, мари, черемис;марийка, мари, черемиска;
Марковцы;марковец, маркец;марковка, марковчанка;
Марокканцы;марроканец;марроканка;
Мегрелы, Мингрелы;мегрел, мингрел;мегрелка, мингрелка;
Мексиканцы;мексиканец;мексиканка;
Менде;менде;менде;
Меннониты;меннонит;меннонитка;
Мишари;мишарь;мишарья;
Мозамбикцы;мозамбикец;мозамбиканка;
Мокшане, Мокша, Мордва-мокша;мокша, мокшанин, мордвин-мокша;мокша, мокшанка, мордвинка-мокша;
Молдаване;молдаванин;молдаванка;
Монголы;монгол;монголка;
Монегаски;монегаск;монегаска;
Моравы, Мораване, Моравцы;моравец, моравин, моравянин;моравка, морваянка;
Мордва, Мордовцы;мордва, мордвин, мордовец;мордва, мордвинка, мордовка;
Мугинцы;мугин, мугинец;мугинка;
Нагайбаки, Ногайбаки;нагайбакец, нагайбак, ногайбакец, ногайбак;нагайбачка, ногайбачка;
Намибийцы;намибиец;намибийка;
Нанайцы, Гольды;нанаец, гольд;нанайка, гольдячка;
Нганасаны;нганасан;нганасанка;
Негидальцы;негидалец;негидалка;
Немцы;немец;немка;
Немцы-ингерманландцы;немец-ингерманландец;немка-ингерманландка;
Ненцы;ненец;ненка;
Непальцы;непалец;непалка;
Нивхи, Гиляки;нивх, гиляк;нивхка, гилячка;
Нигерийцы;нигериец;нигерийка;
