id,национальность
1091044,Татары
1091117,Русские
1091237,Немцы
1091519,Евреи
1091639,Русские
1091723,Русские
1091858,Русские
1091868,Русские
1091879,Русские
1091942,Русские
1091973,нет данных
1091978,Русские
1092013,Русские
1092159,Русские
1092160,Евреи
1092299,Русские
1092314,Русские
1092481,Русские
1092936,Русские
1092944,Русские
1092955,Русские
1092957,Русские
1092961,Русские
1092994,Эвенки
1093000,Русские
1093006,Русские
1093049,Украинцы
1093087,Русские
1093092,Русские
1093191,Русские
1093226,Русские
1093241,Русские
1093279,Русские
1093365,Русские
1093440,Русские
1093443,Русские
1093447,Русские
1093452,Русские
1093488,Русские
1093823,Русские
1093866,Русские
1094008,Русские
1094141,Русские
1094154,Русские
1094234,Русские
1094254,Карелы
1094266,Русские
1094292,Русские
1094393,Русские
1094431,Русские
1094916,Немцы
1094928,Русские
1095206,Русские
1095264,Русские
1095268,Русские
1095326,Русские
1095337,Немцы
1095418,Латыши
1095422,Русские
1095602,Белорусы
1095620,Евреи
1095622,Русские
1095632,Русские
1095649,Евреи
1095663,Русские
1095666,Русские
1095691,Русские
1095727,Евреи
1095841,Латыши
1095882,Латыши
1095980,Латыши
1096002,Евреи
1096143,Русские
1096154,Поляки
1096400,Украинцы
1096486,Русские
1096563,Русские
1096597,Русские
1096653,Русские
1096656,Русские
1096658,Русские
1096667,Русские
1096700,Русские
1096726,Украинцы
1096794,Русские
1097235,Русские
1097317,Нанайцы
1097318,Нанайцы
1097319,Китайцы
1097382,Русские
1097464,Евреи
1097662,Немцы
1097663,Немцы
1097985,Евреи
1098100,Украинцы
1098146,Евреи
1098274,Русские
1098284,Русские
1098315,Русские
1098323,Русские
1098367,Ороки
1098368,Ороки
1098369,Ороки
1098899,Русские
1098902,Русские
1098920,Русские
1098942,Русские
1098943,Русские
1098983,Русские
1098989,Украинцы
1099024,Русские
1099033,Евреи
1099080,Русские
1099156,Русские
1099171,Русские
1099224,Русские
1099232,Русские
1099305,Русские
1099310,Русские
1099547,Эстонцы
1099690,Евреи
1099850,Русские
1099928,Русские
1099935,Русские
1099937,нет данных
1099943,Русские
1099960,Русские
1099974,Русские
1100006,Русские
1100019,нет данных
1100041,Русские
1100077,нет данных
1100095,Русские
1100221,Русские
1100353,Русские
1100425,Русские
1100527,нет данных
1100709,Русские
1100724,Русские
1100732,Русские
1100800,Русские
1100877,Русские
1100946,Русские
1101014,Русские
1101046,Русские
1101074,Евреи
1101081,Русские
1101091,Русские
1101264,Белорусы
1101270,Поляки
1101460,Русские
1101499,Русские
1101506,Русские
1101508,Русские
1101548,Русские
1101560,Татары
1101638,Украинцы
1101670,Поляки
1101786,Русские
1101943,Русские
1101963,Украинцы
1102048,нет данных
1102070,Русские
1102075,нет данных
1102120,Украинцы
1102121,Русские
1102228,Русские
1102258,Русские
1102356,Евреи
1102358,Русские
1102373,Русские
1102538,Русские
1102600,Русские
1102602,Русские
1102607,Русские
1102663,Русские
1102675,Русские
1102686,Русские
1102698,Русские
1102840,Немцы
1102843,нет данных
1102939,Русские
1102947,Русские
1102950,Русские
1103027,Русские
1103215,Русские
1103448,Русские
1103538,Украинцы
1103595,Русские
1103631,Русские
1103637,Русские
1103674,Русские
1103684,Русские
1103699,Русские
1103749,Русские
1103805,Русские
1103833,Русские
1103863,Украинцы
1103864,Украинцы
1103879,Русские
1103951,Русские
1103997,Украинцы
1104010,Русские
1104049,Русские
1104309,Украинцы
1104310,Русские
1104366,Украинцы
1104384,Русские
1104389,Русские
1104400,Русские
1104458,Русские
1104461,Белорусы
1104522,Украинцы
1104677,Русские
1104738,Русские
1104742,Русские
1104931,Русские
1104948,Русские
1104990,Евреи
1105018,Русские
1105164,Русские
1105227,Русские
1105233,нет данных
1105236,Немцы
1105264,Русские
1105265,Русские
1105266,Русские
1105285,Русские
1105323,Русские
1105388,Русские
1105434,Русские
1105437,Русские
1105477,Русские
1105506,Поляки
1105566,Украинцы
1105599,Русские
1105716,Русские
1105726,Русские
1105751,Русские
1105786,Русские
1105829,Русские
1105858,Поляки
1105989,Русские
1105992,Украинцы
1106110,Украинцы
1106193,Русские
1106274,Русские
1106456,Русские
1106751,Русские
1106780,Русские
1106796,Русские
1106797,Русские
1106819,нет данных
1106824,Русские
1106830,Русские
1106843,Русские
1106867,нет данных
1106873,нет данных
1106942,Русские
1107055,Русские
1107065,Русские
1107066,Русские
1107077,нет данных
1107091,Русские
1107095,нет данных
1107100,нет данных
1107134,Русские
1107196,Русские
1107218,Русские
1107222,Русские
1107247,Русские
1107442,Евреи
1107464,Евреи
1107505,Евреи
1107523,Русские
1107524,Русские
1107557,Русские
1107560,Русские
1107603,Немцы
1107604,нет данных
1107610,Китайцы
1107716,Евреи
1107767,Немцы
1107884,Русские
1107960,Русские
1108022,Русские
1108025,Русские
1108213,Русские
1108214,Русские
1108225,Евреи
1108287,Украинцы
1108343,Евреи
1108371,Евреи
1108515,Русские
1108525,Немцы
1108735,Евреи
1108765,Евреи
1108807,Немцы
1108839,Евреи
1108870,Финны
1108938,Украинцы
1109066,Русские
1109067,Русские
1109133,Молдаване
1109149,Русские
1109211,Русские
1109273,Русские
1109367,Украинцы
1109399,Украинцы
1109410,Русские
1109414,Украинцы
1109511,Русские
1109601,Русские
1109691,Русские
1109693,Русские
1109838,Русские
1109888,Русские
