id,гражданство
1092314,СССР
1092481,СССР
1092936,СССР
1092944,эмигрант
1092955,СССР
1092957,СССР
1092961,СССР
1092994,СССР
1093000,СССР
1093006,СССР
1093049,СССР
1093087,СССР
1093092,СССР
1093191,СССР
1093226,СССР
1093241,СССР
1093279,СССР
1093365,СССР
1093440,СССР
1093443,СССР
1093447,СССР
1093452,СССР
1093488,СССР
1093823,СССР
1093866,СССР
1094008,СССР
1094141,СССР
1094154,СССР
1094234,СССР
1094254,СССР
1094266,СССР
1094292,СССР
1094393,СССР
1094431,СССР
1094916,СССР
1094928,СССР
1095206,СССР
1095264,СССР
1095268,СССР
1095326,СССР
1095337,СССР
1095418,нет данных
1095422,СССР
1095602,СССР
1095620,СССР
1095622,СССР
1095632,СССР
1095649,СССР
1095663,СССР
1095666,СССР
1095691,СССР
1095727,СССР
1095841,СССР
1095882,СССР
1095980,СССР
1096002,СССР
1096143,СССР
1096154,СССР
1096400,СССР
1096486,СССР
1096563,СССР
1096597,СССР
1096653,СССР
1096656,СССР
1096658,СССР
1096667,СССР
1096700,СССР
1096726,СССР
1096794,СССР
1097235,СССР
1097317,Без гражданства
1097318,Без гражданства
1097319,Китай
1097382,СССР
1097464,СССР
1097662,нет данных
1097663,СССР
1097985,СССР
1098100,СССР
1098146,СССР
1098274,СССР
1098284,СССР
1098315,СССР
1098323,СССР
1098367,СССР
1098368,СССР
1098369,СССР
1098899,СССР
1098902,СССР
1098920,СССР
1098942,СССР
1098943,СССР
1098983,СССР
1098989,СССР
1099024,СССР
1099033,СССР
1099080,эмигрант
1099156,СССР
1099171,СССР
1099224,СССР
1099232,СССР
1099305,СССР
1099310,СССР
1099547,СССР
1099690,СССР
1099850,СССР
1099928,СССР
1099935,СССР
1099937,нет данных
1099943,СССР
1099960,СССР
1099974,СССР
1100006,СССР
1100019,нет данных
1100041,СССР
1100077,нет данных
1100095,СССР
1100221,СССР
1100353,СССР
1100425,СССР
1100527,нет данных
1100709,СССР
1100724,СССР
1100732,СССР
1100800,СССР
1100877,СССР
1100946,СССР
1101014,Без гражданства
1101046,СССР
1101074,СССР
1101081,СССР
1101091,СССР
1101264,эмигрант
1101270,СССР
1101460,СССР
1101499,СССР
1101506,СССР
1101508,СССР
1101548,СССР
1101560,СССР
1101638,СССР
1101670,СССР
1101786,СССР
1101943,СССР
1101963,СССР
